anonymous block completed
Checking 0104ECPREFPT .1 1.7 
Checking 0104EDCASH -2.3 -.1 
Checking 0104EICASH -2.3 -.1 
Checking 0104EIRFSIG .1 2.3 
Checking 0104GSAG2G .1 1.65 
Checking 0104GSALT 39 1.2 
Checking 0104GSALT1 39 1.2 
Checking 0104HCNP .1 1.54 
Checking 0104HCP .1 1.54 
Checking 0104IAIR 0 1.1 
Checking 0104IBUS 0 2 
Checking 0104ICASH -1.75 -.33 
Checking 0104CRTCRT1 .1 1.43 
Checking 0104EXPY .02 2 
Checking 0104SUPCRT2 .05 1.2 
Checking 0104SUPCRT3 .05 1.22 
Checking 0104SUPDBT3 .28 .92 .35
Checking 0104URTLDBT3 .15 .92 
Checking 0105DUCONCVM1RELST 0 1.1 
Checking 0105HAIR .1 2.3 
Checking 0105HCONP 0 2 
Checking 0105HFULLUCAF .1 2.4 
Checking 0105HKEY .1 2.5 
Checking 0105HLRGTKT 0 2 
Checking 0105HM3B .1 2.2 
Checking 0105HM3T1 .1 2.05 
Checking 0105HM3T3 .1 2.15 
Checking 0105HMER1 .1 2.5 
Checking 0105HMERUCAF .1 2.3 
Checking 0105HPETBASE 0 2 
Checking 0105HPETCAP 0 2 
Checking 0105HPUBSEC .1 1.55 
Checking 0105HREST .1 2.2 
Checking 0105HSERIND .05 1.15 
Checking 0105HSMKTB .1 1.9 
Checking 0105HSMKTT1 .05 1.25 
Checking 0105HSMKTT2 .05 1.25 
Checking 0105HSTD .1 3.25 
Checking 0105HTNE .1 2.75 
Checking 0105HWHOB .1 1.9 
Checking 0105HWHT1 .1 1.9 
Checking 0105UBCTE1 0 2.5 
Checking 0105UBCTE2 .1 2.35 
Checking 0105UBCTE3 .1 2.3 
Checking 0105UBDR3 .1 1.91 
Checking 0105UBFTF .1 2.16 
Checking 0105UBTE1 0 2.66 
Checking 0105UBTE2 .1 2.51 
Checking 0105UCDR2BUS .1 2 
Checking 0105UCDR2PETRBUS .1 2.05 
Checking 0105UCFTFBUS .1 2 
Checking 0105UCLT 40 1.2 
Checking 0105UCONCVECM1INS .05 1.43 
Checking 0105UCONCVECM1RELST 0 1.1 
Checking 0105UCONCVM1INS .05 1.43 
Checking 0105UCONCVM1RELST 0 1.1 
Checking 0105UCPURDR2 .1 2.1 
Checking 0105UCST .1 2.95 
Checking 0105UCTE1 0 2.7 
Checking 0105UCTE2 .1 2.55 
Checking 0105UCTE3 .1 2.5 
Checking 0105UCWHC .1 1.48 
Checking 0105UENHM1RELST 0 1.1 
Checking 0105UFTE3 .1 2.5 
Checking 0105UPTE3 .1 2.5 
Checking 0105UWEMCM3T1 .1 2.05 
Checking 0105UWEMCM3T2 .1 2.1 
Checking 0105UWEMCM3T3 .1 2.15 
Checking 0105UWEMCREST .1 2.2 
Checking 0105UWMCM1INS .05 1.43 
Checking 0105UWMCM1RELST 0 1.1 
Checking 08BASECC .1 2.95 
Checking 08BASECP .1 2.95 
Checking 08BASECR .1 2.95 
Checking 08COMBAS .1 2.95 
Checking 0104STD .1 2.95 
Checking 0105UBUTIL 1.5 0 
Checking 08INTLELEC 0 1.36 
Checking 08MIDCC .1 2.4 
Checking 08MIDCP .1 2.4 
Checking 08MIDCR .1 2.4 
Checking 0105DUSTDEC .25 1.9 
Checking 0105DUSUP .15 1.05 
Checking 0105DUSUPT1 .15 .7 
Checking 0105DUSUPT2 .15 .83 
Checking 0105DUSUPT3 .15 .95 
Checking 0105DUTPR .15 1.15 
Checking 0105UWEMCM1 .1 2.5 
Checking 0105UWEMCM3 .1 2.2 
Checking 0105UWEMCMUCAF .1 2.2 
Checking 0105UWEMCPETR 0 2 
Checking 0105UWEMCPUBLSE .1 1.55 
Checking 0105UWEMCSTD .1 3.25 
Checking 0105UWEMCSUP .1 1.9 
Checking 0105UWEMCSUPT1 .05 1.25 
Checking 0105UWEMCSUPT2 .05 1.25 
Checking 0105UWEMCSUPT3 .05 1.32 
Checking 0105UWEMCTELT 0 2 
Checking 0105UWEMCTNE .1 2.75 
Checking 0105UWEMCUTIL .75 0 
Checking 0105UWEMCWHCT .1 1.9 
Checking 0105UWEMCWHCT1 .1 1.9 
Checking 0105UWMC .1 2.3 
Checking 0105UWMCCPUR 0 2 
Checking 0105UWMCFUCAF .1 1.97 
Checking 0105UWMCKEY .1 2.05 
Checking 0105UWMCM1 .1 2.05 
Checking 0105UWMCM3 .1 1.77 
Checking 0105UWMCM3T1 .1 1.53 
Checking 0105UWMCM3T2 .1 1.58 
Checking 0105UWMCM3T3 .1 1.65 
Checking 0105UWMCMUCAF .1 1.87 
Checking 0105UWMCPETR 0 2 
Checking 0105UWMCPUBLSEC .1 1.55 
Checking 0105UWMCSIND .05 1.15 
Checking 0105UWMCSTD .1 2.95 
Checking 0105UWMCSUP .1 1.58 
Checking 0105UWMCSUPT1 .05 1.25 
Checking 0105UWMCSUPT2 .05 1.25 
Checking 0105UWMCSUPT3 .05 1.32 
Checking 0105UWMCUTIL .65 0 
Checking 0105UWMCWHCT .1 1.58 
Checking 0105UWMCWHCT1 .1 1.58 
Checking 0105UFTE2 .1 2.55 
Checking 08AVP1CC 0 2.07 
Checking 08AVP1CD 0 1.8 
Checking 08AVP1CO 0 2.25 
Checking 08AVP1CP 0 2.07 
Checking 08AVP1CR 0 2.07 
Checking 08AVP2CC 0 2.02 
Checking 08AVP2CD 0 1.69 
Checking 08AVP2CP 0 2.02 
Checking 08AVP2CR 0 2.02 
Checking 08AVP3CC 0 1.75 
Checking 08AVP3CD 0 1.35 
Checking 08AVP3CP 0 1.75 
Checking 08AVP3CR 0 1.75 
Checking 08BASECD .25 1.89 
Checking 08COMAVP1 0 2.25 
Checking 08COMELEC .1 2.3 
Checking 08COMUTL 1.5 0 
Checking 08ECOMCC .1 1.87 
Checking 08ECOMCD .2 1.75 
Checking 08ECOMCP .1 2 
Checking 08ECOMCR .1 1.97 
Checking 08EMECC .05 1.45 
Checking 08EMECD .2 .9 
Checking 08EMECP .05 1.45 
Checking 08EMECR .05 1.45 
Checking 08EXPCC 0 1.95 
Checking 08EXPCD 0 1.8 
Checking 08EXPCP 0 1.95 
Checking 08EXPCR 0 1.95 
Checking 08HOTCC .1 1.58 
Checking 08HOTCD .16 1.35 
Checking 08HOTCP .1 2.3 
Checking 08HOTCR .1 1.9 
Checking 08INSUCC .05 1.43 
Checking 08INSUCD .25 .8 
Checking 08INSUCP .05 1.43 
Checking 08INSUCR .05 1.43 
Checking 08KEYCC .1 1.87 
Checking 08KEYCD .2 1.75 
Checking 08KEYCP .1 2 
Checking 08KEYCR .1 1.97 
Checking 08MIDCD .2 1.8 
Checking 08PASCC .1 1.75 
Checking 08PASCD .16 1.59 
Checking 08PASCP .1 2.3 
Checking 08PASCR .1 1.9 
Checking 08PETCC .05 1.55 
Checking 08PETCD .16 .76 
Checking 08PETCP .05 1.73 
Checking 08PETCR .05 1.73 
Checking 08PUBCC .1 1.55 
Checking 08PUBCD .2 .9 
Checking 08PUBCP .1 1.55 
Checking 0105UFTE1 0 2.7 
Checking 0105UPTE2 .1 2.55 
Checking 08RECCC .05 1.2 
Checking 08RECCD .05 1.2 
Checking 08RECCP .05 1.2 
Checking 08RECCR .05 1.2 
Checking 08RESCC .1 1.56 
Checking 08RESCD .16 1.1 
Checking 08RESCR .1 1.9 
Checking 08RETCC .1 1.56 
Checking 08RETCD .16 1.1 
Checking 08RETCP .1 1.71 
Checking 08RETCR .1 1.71 
Checking 08RSTCC 0 1.1 
Checking 08RSTCD 0 1.1 
Checking 08RSTCR 0 1.1 
Checking 08SUPCC .05 1.4 
Checking 08SUPCD .16 1.1 
Checking 08SUPCP .05 1.65 
Checking 08INTLBASE .1 1.7 
Checking 08SUPCR .05 1.65 
Checking 08UTICC .75 0 
Checking 08UTICD .75 0 
Checking 08UTICP .75 0 
Checking 0105UCFTFPETRPUR .1 2.05 
Checking 0105UCFTFPETRFL .1 2.05 
Checking 0105UCFTFPETR .1 2.05 
Checking 0105UCFTFPETRBUS .1 2.05 
Checking 08INTLAVP 0 0 
Checking 08DEFCD 0 1.8 
Checking 08DEFCO 0 2.25 
Checking 08DEFCC 0 2.07 
Checking 08DAVPCC .1 2.95 
Checking 08DAVPCR .1 2.95 
Checking 08DAVPCD .25 1.89 
Checking 0104EIRF .1 2.3 
Checking 0105UBWEF2FPETR .1 2.27 
Checking 0105UBWEFTF .1 2.21 
Checking 0105UBWELT 40 1.41 
Checking 0105UBWEST .1 3.16 
Checking 0105UBWEDR2 .1 2.21 
Checking 0105UBWEDR2PETR .1 2.27 
Checking 0105UBWEDR1 .1 2.86 
Checking 0105UCDR1BUS .1 2.65 
Checking 0105UBWETE2 .1 2.56 
Checking 0105UBWETE1 0 2.71 
Checking 0105UCOMEP .53 .19 
Checking 0105UBWETE3 .1 2.51 
Checking 0105UBWELT2 40 1.41 
Checking 0105HMER1INS .1 2.2 
Checking 0105HMER1RELST .1 2.2 
Checking 0105MONSND 0 0 
Checking 0105IPCSEI 0 1.85 
Checking 0105IPCSFUCAF 0 1.85 
Checking 0105IPCSMUCAF 0 1.85 
Checking 0105IPCSSTD 0 1.85 
Checking 0105UENHMIINS .05 1.43 
Checking 0105UBEVDR2PETR .1 2.16 
Checking 0105BEVDR3 .1 1.91 
Checking 0105BEVF2F .1 2.16 
Checking 0105UBEVF2FPETR .1 2.16 
Checking 0105BEVLT1 40 1.36 
Checking 0105BEVLT2 40 1.36 
Checking 0105BEVLT3 40 1.36 
Checking 0105BEVSTD .1 3.11 
Checking 0105BEVTE1 0 2.66 
Checking 0105BEVTE2 .1 2.51 
Checking 0105BEVTE3 .1 2.46 
Checking 0105BEVWB .1 1.48 
Checking 0105BEVWT1 .1 1.48 
Checking 0105BEVUTI 1.5 0 
Checking 0105UWEMCM1RELST .1 2.2 
Checking 0104SUPDBCAP .15 1.03 .35
Checking 0104UCASH -2 0 
Checking 0104ASBUSEIRF .1 2.4 
Checking 0104ASCHPAQ 0 1 
Checking 0104ASCHPON 0 1.44 
Checking 0104ASCORPSTD .1 2.95 
Checking 0104ASPURSTD .1 2.95 
Checking 0104TCAIRCHIPFULL 0 1.1 
Checking 0104TCAIRLINE 0 1.1 
Checking 0104TCCHIPACQ 0 1 
Checking 0104TCCHIPISS 0 1.2 
Checking 0104TCEIRF 0 1.1 
Checking 0104TCINF 0 1.97 
Checking 0104TCSEC 0 1.44 
Checking 0104TCSTD 0 1.6 
Checking 0104TCVEAIRCHIPFULLPIN 0 1.1 
Checking 0104TCVECHIPFULLPIN 0 1.1 
Checking 0104TCVESEC 0 1.44 
Checking 0104USTAIRCHPFULLPIN 0 1.1 
Checking 0104USTCHIPFULLPIN 0 1.1 
Checking 0104USTCOMCLCORP 0 2 
Checking 0104USTNONAUTHNDMRCH 0 1.44 
Checking 0104USTVEAIRCHIPTERMNL 0 1 
Checking 0104USTVECHIPISS 0 1.2 
Checking 0104USTVEINTRAIRLINE 0 1.1 
Checking 0104SUPCH .15 .8 
Checking 0104SUPDBCT2 .23 .81 .35
Checking 0104SUPDBCT3 .28 .92 .35
Checking 0104URTLCRDB .2 .95 
Checking 0105DUCWHCAP .15 1.05 
Checking 0105DUCWHCCT1 .15 1.05 
Checking 0105DUSERVSTC .17 .7 
Checking 0105DUSUPCT1 .15 .7 
Checking 0105UWEMCPETRC 0 2 
Checking 0105DUCWHC .15 1.05 
Checking 0105DURESTAUR .1 1.19 
Checking 0105UTPR .1 1.58 
Checking 08PUBCR .1 1.55 
Checking 08RESCP .1 2.2 
Checking 08RSTCP 0 1.1 
Checking 0105ICASHCS -3.6 -.09 
Checking 0105ICORP 0 2 
Checking 0105ICPAY .53 .19 
Checking 0105IEI 0 1.1 
Checking 0105IFUCAF 0 1.54 
Checking 0105IMCELCARDCRP 0 1.85 
Checking 0105IMCELCARDCS 0 1.1 
Checking 0105IMCELFUCAFCRP 0 1.85 
Checking 0105IMCELFUCAFCS 0 1.54 
Checking 0105IMUCAF 0 1.44 
Checking 0105IPAY .53 .19 
Checking 0105IPDR2 0 1.7 
Checking 0105IPLT 30 .9 
Checking 0105IPURC 0 2 
Checking 0105IREBATE 0 0 
Checking 0105ISTD 0 1.6 
Checking 0105ISTD1 0 1.69 
Checking 0105ISTDEC 0 1.6 
Checking 0105UBDR1 .1 2.81 
Checking 0105UBDR2 .1 2.16 
Checking 0105UBDR2PETR .1 2.22 
Checking 0105UBFTFPETR .1 2.22 
Checking 0105UBLT 40 1.36 
Checking 0105UBLT2 40 1.36 
Checking 0105UBLTR1MPG 0 1.2 
Checking 0105UBLTR2MPG 0 1 
Checking 0105UBLTR3MPG 0 .9 
Checking 0105UBREBATE 0 0 
Checking 0105UBST .1 3.11 
Checking 0105UBTE3 .1 2.46 
Checking 0105UCASHCS -2.05 0 
Checking 0105UCDR1 .1 2.65 
Checking 0105UCDR2 .1 2.5 
Checking 0105UCDR2FL .1 2.5 
Checking 0105UCDR2PETR .1 2.05 
Checking 0105UCDR2PETRFL .1 2.05 
Checking 0105UCDR2PETRPUR .1 2.05 
Checking 0105UCDR2PUR .1 2.5 
Checking 0105UCDR3 .1 1.75 
Checking 0105UCFTF .1 2.1 
Checking 0105UCFTFFL .1 2.5 
Checking 0105UCFTFPUR .1 2.1 
Checking 0105UCLT2 40 1.2 
Checking 0105UCLT3 40 1.2 
Checking 0105UCLTR1MPG 0 1.2 
Checking 0105UCLTR2MPG 0 1 
Checking 0105UCLTR3MPG 0 .9 
Checking 0105UCPAY .53 .19 
Checking 0105UCPUR 0 1.9 
Checking 0105UCREBATE 0 0 
Checking 0105UCWHCT1 .1 1.48 
Checking 0105UENHCPUR 0 1.9 
Checking 0105UENHCWHC .1 1.48 
Checking 0105UENHCWHCT1 .1 1.48 
Checking 0105UENHFUCAF .1 1.93 
Checking 0105UENHKEY .1 2.04 
Checking 0105UENHM1 .1 2.04 
Checking 0105UENHM3 .1 1.73 
Checking 0105UENHM3T1 .1 1.43 
Checking 0105UENHM3T2 .1 1.48 
Checking 0105UENHM3T3 .1 1.55 
Checking 0105UENHMUCAF .1 1.83 
Checking 0105UENHPBLSEC .1 1.55 
Checking 0105UENHPETR 0 1.9 
Checking 0105UENHPT .1 1.9 
Checking 0105UENHSIND .05 1.15 
Checking 0105UENHSTD .1 2.95 
Checking 0105UENHSUP .1 1.48 
Checking 0105UENHSUPT1 .05 1.15 
Checking 0105UENHSUPT2 .05 1.15 
Checking 0105UENHSUPT3 .05 1.22 
Checking 0105UENHTPR .1 1.8 
Checking 0105UENHUTIL .65 0 
Checking 0105UFUCAF .1 1.78 
Checking 0105UKEY .1 1.89 
Checking 0105UM1 .1 1.89 
Checking 0105UM1EC .1 1.89 
Checking 0105UM3 .1 1.58 
Checking 0105UM3T1 .1 1.43 
Checking 0105UM3T2 .1 1.48 
Checking 0105UM3T3 .1 1.55 
Checking 0105UMUCAF .1 1.68 
Checking 0105UPAY .53 .19 
Checking 0105UPBLSEC .1 1.55 
Checking 0105UPETR 0 1.9 
Checking 0105UPT .1 1.75 
Checking 0105UREFCR1 0 2.37 
Checking 0105UREFCR2 0 2.3 
Checking 0105UREFCR3 0 2.21 
Checking 0105UREFCR4 0 2.16 
Checking 0105UREFCS1 0 2.42 
Checking 0105UREFCS2 0 2.09 
Checking 0105UREFCS3 0 1.95 
Checking 0105UREFCS4 0 1.82 
Checking 0105UREFCS5 0 1.73 
Checking 0105USIND .05 1.15 
Checking 0105USTD .1 2.95 
Checking 0105USTDEC .1 2.95 
Checking 0105USUP .1 1.48 
Checking 0104ICISS 0 1.2 
Checking 0104ICOR 0 2 
Checking 0104ICTER 0 1 
Checking 0104INEMLT 35 .95 
Checking 0104INFC 0 1.97 
Checking 0104INGOV 5 0 
Checking 0104INLKS 0 1.1 
Checking 0104INTLM 0 1.6 
Checking 0104INTLMB 0 1.8 
Checking 0104INTLMC 0 1.8 
Checking 0104INTLME 0 1.1 
Checking 0104INTLMINF 0 1.8 
Checking 0104INTLMP 0 1.8 
Checking 0104USTAIRCHIPFULL 0 1.1 
Checking 0104USTCOMCLBUS 0 2 
Checking 0104USTINTLPREPS2000 0 1.1 
