anonymous block completed
Checking 0104ICTER 0 1 
Checking 0104INEMLT 35 .95 
Checking 0104INFC 0 1.97 
Checking 0104INGOV 5 0 
Checking 0104INLKS 0 1.1 
Checking 0104INTLM 0 1.6 
Checking 0104INTLMB 0 1.8 
Checking 0104INTLMC 0 1.8 
Checking 0104INTLME 0 1.1 
Checking 0104INTLMINF 0 1.8 
Checking 0104INTLMP 0 1.8 
Checking 0104USTAIRCHIPFULL 0 1.1 
Checking 0104USTCOMCLBUS 0 2 
Checking 0104USTINTLPREPS2000 0 1.1 
Checking 0104USTSIGCARD 0 1.8 
Checking 0104USTUSVSPINTR 0 1.97 
Checking 0104USTVEAIRCHPFLPIN 0 1.1 
Checking 0104USTVECHIPFULLPIN 0 1.1 
Checking 0104USTVEINTPREPS2000 0 1.1 
Checking 0104USTVESTANDARD 0 1.6 
Checking 0104SUPDBCT1 .19 .62 .35
Checking 0104CPSCHR .05 1.35 
Checking 0105URPDSMT1 .22 .05 
Checking 0105UWMCCPURT1 0 1.45 
Checking 0104UCVNPTDB 0 1.31 
Checking 0104SMKTDBCAP .3 0 
Checking 0104CPTRCNP .1 1.7 
Checking 0104CPTRCP .1 1.7 
Checking 0104PULPA1 49.5 .7 
Checking 0105HCONPT1 0 1.6 
Checking 0105UCPURT1 0 1.35 
Checking 0105UENHCPURT1 0 1.35 
Checking 0105URPDSM .21 .05 
Checking 0104UCORPLVL2 .1 2.05 
Checking 08UTICR .75 0 
Checking 0104CPSPTDBCNP .15 1.7 
Checking 0104CPSPTDBCP .1 1.19 
Checking 0104CPSPTPPCNP .2 1.75 
Checking 0104CPSPTPPCP .15 1.15 
Checking 0104UBUSCPDB .1 1.7 
Checking 0104UBUSSDB .1 2.95 
Checking 0104UCORPELWD .1 2.75 
Changing 105 34 0104UCORPELWD 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 107 34 0104UCORPELWD 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 121 34 0104UCORPELWD 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 105 33 0104UCORPELWD 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 121 33 0104UCORPELWD 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 105 34 0104UCORPELWD 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 121 34 0104UCORPELWD 010003015101 010004020000 to .1 2.75  from .1 2.95 
Checking 0104UCORPLVL3 .1 1.95 
Changing 105 34 0104UCORPLVL3 010003015101 010004020000 to .1 1.95  from .1 1.85 
Changing 107 34 0104UCORPLVL3 010003015101 010004020000 to .1 1.95  from .1 1.85 
Changing 121 34 0104UCORPLVL3 010003015101 010004020000 to .1 1.95  from .1 1.85 
Changing 105 33 0104UCORPLVL3 010003015101 010004020000 to .1 1.95  from .1 1.85 
Changing 121 33 0104UCORPLVL3 010003015101 010004020000 to .1 1.95  from .1 1.85 
Changing 105 34 0104UCORPLVL3 010003015101 010004020000 to .1 1.95  from .1 1.85 
Changing 121 34 0104UCORPLVL3 010003015101 010004020000 to .1 1.95  from .1 1.85 
Checking 0104PULPA2 52.5 .6 
Checking 0104PULPA3 55.5 .5 
Checking 0104PULPA4 58.5 .4 
Checking 0104UBUSCNPDB .1 2.45 
Checking 08RECCDNX .21 .05 
Checking 08RECCDNXFP .22 .05 
Checking 08SUPCDNX .21 .05 
Checking 08SUPCDNXFP .22 .05 
Checking 08EMECDNX .21 .05 
Checking 08EMECDNXFP .22 .05 
Checking 08PUBCDNX .21 .05 
Checking 08PUBCDNXFP .22 .05 
Checking 08PETCDNX .21 .05 
Checking 08PETCDNXFP .22 .05 
Checking 08RETCDNX .21 .05 
Checking 08RETCDNXFP .22 .05 
Checking 08RESCDNX .21 .05 
Checking 08RESCDNXFP .22 .05 
Checking 08HOTCDNX .21 .05 
Checking 08HOTCDNXFP .22 .05 
Checking 08PASCDNX .21 .05 
Checking 08PASCDNXFP .22 .05 
Checking 08ECOMCDNX .21 .05 
Checking 08ECOMCDNXFP .22 .05 
Checking 08KEYCDNX .21 .05 
Checking 08KEYCDNXFP .22 .05 
Checking 08COMELECNX .21 .05 
Changing 101 33 08COMELECNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 33 08COMELECNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 34 08COMELECNX 010003015101 010004020000 to .21 .05  from 0 0 
Checking 08COMELECNXFP .22 .05 
Changing 101 33 08COMELECNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 33 08COMELECNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 34 08COMELECNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Checking 08MIDCDNX .21 .05 
Checking 08MIDCDNXFP .22 .05 
Checking 08BASECDNX .21 .05 
Checking 0104UBUSENHCNP .15 2.45 
Checking 0104UBUSENHELEC .15 2.75 
Checking 0104UBUSENHLVL2 .1 2.05 
Checking 0104UBUSENHRTL .1 2.3 
Checking 0104UBUSENHSTD .2 2.95 
Checking 0104UEIRFDBCAP .2 1.75 
Checking 0104USIGBUSB2B .1 2.4 
Checking 0104USIGBUSCNP .2 2.6 
Checking 0104USIGBUSELEC .2 2.85 
Checking 0104USIGBUSLVL2 .1 2.05 
Checking 0104USIGBUSRTL .1 2.4 
Checking 0104USIGBUSSTD .2 2.95 
Checking 0105BEVSUPMKT .02 1.3 
Checking 0105ISPCACH 0 1.98 
Checking 0105ISPCICH 0 1.98 
Checking 0105ISPCSEI 0 1.98 
Checking 0105ISPCSFUCAF 0 1.98 
Checking 0105ISPCSMUCAF 0 1.98 
Checking 0105ISPCSSTD 0 1.98 
Checking 0105UCSUPMKT .1 2.5 
Changing 101 33 0105UCSUPMKT 010003015101 010004020000 to .1 2.5  from .1 2.21 
Changing 107 33 0105UCSUPMKT 010003015101 010004020000 to .1 2.5  from .1 2.21 
Changing 107 34 0105UCSUPMKT 010003015101 010004020000 to .1 2.5  from .1 2.21 
Checking 0105URPD .21 .05 
Checking 0104UEIRFPPCAP .2 1.8 
Checking 08PETPP .05 1.73 
Checking 08AVP3PP 0 1.75 
Checking 08BASECDNXFP .22 .05 
Checking 08COMBASNX .21 .05 
Changing 101 33 08COMBASNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 33 08COMBASNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 34 08COMBASNX 010003015101 010004020000 to .21 .05  from 0 0 
Checking 08COMBASNXFP .22 .05 
Changing 101 33 08COMBASNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 33 08COMBASNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 34 08COMBASNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Checking 08AVP1CDNX 0 0 
Checking 08AVP2CDNX 0 0 
Checking 08AVP3CDNX 0 0 
Checking 08AVP1CONX 0 0 
Checking 08AVP1CONXFP 0 0 
Checking 08UTICDNX .21 .05 
Checking 08UTICDNXFP .22 .05 
Checking 08RSTCDNX .21 .05 
Checking 08RSTCDNXFP .22 .05 
Checking 08INSUCDNX .21 .05 
Checking 08INSUCDNXFP .22 .05 
Checking 08COMUTLNX .21 .05 
Changing 101 33 08COMUTLNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 33 08COMUTLNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 34 08COMUTLNX 010003015101 010004020000 to .21 .05  from 0 0 
Checking 08COMUTLNXFP .21 .05 
Changing 101 33 08COMUTLNXFP 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 33 08COMUTLNXFP 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 34 08COMUTLNXFP 010003015101 010004020000 to .21 .05  from 0 0 
Checking 08DEFCDNX 0 0 
Changing 101 33 08DEFCDNX 010003015101 010004020000 to 0 0  from .21 .05 
Changing 107 33 08DEFCDNX 010003015101 010004020000 to 0 0  from .21 .05 
Changing 107 34 08DEFCDNX 010003015101 010004020000 to 0 0  from .21 .05 
Checking 08DEFCDNXFP 0 0 
Changing 101 33 08DEFCDNXFP 010003015101 010004020000 to 0 0  from .22 .05 
Changing 107 33 08DEFCDNXFP 010003015101 010004020000 to 0 0  from .22 .05 
Changing 107 34 08DEFCDNXFP 010003015101 010004020000 to 0 0  from .22 .05 
Checking 08DEFCONX 0 0 
Checking 08DEFCONXFP 0 0 
Checking 08DAVPCONX 0 0 
Checking 08DAVPCONXFP 0 0 
Checking 0104USMKTPP .15 1.15 
Checking 0104UCPSSMTPP .05 1.6 
Checking 0104UCPSRTL2PP .15 .65 
Checking 0104UCPSRTLPP .15 1.15 
Checking 0104USTDPP .25 1.9 
Checking 0104UCPSAFDPP .15 1.15 
Checking 0104UCPSCNPPP .2 1.75 
Checking 0104UCPSECPREFPP .2 1.75 
Checking 0104UCPSECBASPP .2 1.75 
Checking 0104UCPSPTECPPP .2 1.75 
Checking 0104UCPSPTPP .2 1.75 
Checking 0104UCPSHTLCNPPP .2 1.75 
Checking 0104UCPSHTLCPPP .15 1.15 
Checking 0104UCPSHTLECPPP .2 1.75 
Checking 0104UCPSACCTFPP .2 1.8 
Checking 0104UCPSRTLKEPP .2 1.75 
Checking 0104UCPSREGSMT .22 .05 
Checking 0104USVCSTNPP .15 1.15 
Checking 0104URESTRNTPP .15 1.15 
Checking 0104UEIRFPP .2 1.8 
Checking 0104USCPSREG .22 .05 
Checking 0104UCPSDCRVO 0 0 
Checking 0104USTERREGDB .22 .05 
Checking 0105URPDFA .22 .05 
Checking 08AVP2CDNXFP 0 0 
Checking 08AVP1CDNXFP 0 0 
Checking 08AVP3CDNXFP 0 0 
Checking 0105USREWARD 0 0 
Checking 0104UCORPTVLS .1 2.55 
Checking 0104UPURTVLS .1 2.45 
Changing 105 34 0104UPURTVLS 010003015101 010004020000 to .1 2.45  from .1 2.55 
Changing 107 34 0104UPURTVLS 010003015101 010004020000 to .1 2.45  from .1 2.55 
Changing 121 34 0104UPURTVLS 010003015101 010004020000 to .1 2.45  from .1 2.55 
Changing 121 33 0104UPURTVLS 010003015101 010004020000 to .1 2.45  from .1 2.55 
Changing 105 33 0104UPURTVLS 010003015101 010004020000 to .1 2.45  from .1 2.55 
Changing 105 34 0104UPURTVLS 010003015101 010004020000 to .1 2.45  from .1 2.55 
Changing 121 34 0104UPURTVLS 010003015101 010004020000 to .1 2.45  from .1 2.55 
Checking 08COMLRGTKT 20 .9 
Checking 08INTLCASHREIMB 3 .16 
Checking 08AVP1PP 0 2.07 
Checking 08AVP2PP 0 2.02 
Checking 08CASHREIMB 1.65 .16 
Checking 08DAVPCDNX .21 .05 
Checking 08DAVPPP .1 2.95 
Checking 08DEFPP 0 2.07 
Changing 101 33 08DEFPP 010003015101 010004020000 to 0 2.07  from 0 1.75 
Changing 107 33 08DEFPP 010003015101 010004020000 to 0 2.07  from 0 1.75 
Changing 107 34 08DEFPP 010003015101 010004020000 to 0 2.07  from 0 1.75 
Checking 08ECOMPP .1 2.35 
Checking 08EMEPP .1 2.3 
Checking 08EXPPP 0 2.05 
Checking 08HOTPP .1 2.3 
Checking 08INSUPP .05 2.3 
Checking 08KEYPP .1 2.15 
Checking 08MIDPP .1 2.4 
Checking 08PASPP .1 2.3 
Checking 08PUBPP .1 1.55 
Checking 08RECPP .05 1.8 
Checking 08RESPP .1 2.3 
Checking 08RETPP .1 2.1 
Checking 08RSTPP .1 2.3 
Checking 08SUPPP .1 1.9 
Checking 08UTIPP .75 0 
Checking 0104CPSRTL2DBCAP .15 .65 
Checking 0104IPREM 0 1.8 
Checking 0104ISPREM 0 1.97 
Checking 0104UBUSENHB2B .1 2.25 
Checking 0104UCPSRTL2PPCAP .15 .65 
Checking 0104UREGCPSRTL2 .22 .05 
Checking 0105UPETRC 0 1.9 
Checking 0105IPCOMSTD 0 2 
Checking 0105BEVDR1 .1 2.81 
Checking 0105BEVDR2 .1 2.16 
Checking 0104USVSPFUEL .25 1.15 
Checking 0104EXPMTDB .02 2 
Changing 107 34 0104EXPMTDB 010003015101 010004020000 to .02 2  from .02 1.95 
Changing 105 34 0104EXPMTDB 010003015101 010004020000 to .02 2  from .02 1.95 
Changing 105 33 0104EXPMTDB 010003015101 010004020000 to .02 2  from .02 1.95 
Changing 121 34 0104EXPMTDB 010003015101 010004020000 to .02 2  from .02 1.95 
Changing 121 33 0104EXPMTDB 010003015101 010004020000 to .02 2  from .02 1.95 
Changing 105 34 0104EXPMTDB 010003015101 010004020000 to .02 2  from .02 1.95 
Changing 121 34 0104EXPMTDB 010003015101 010004020000 to .02 2  from .02 1.95 
Checking 0104UBUSE .1 2.4 
Checking 0104USVCSTNCRCAP .25 1.15 
Checking 0104USVSPFUELCAP .25 1.15 
Checking 0104USVSPSTDCAP .1 2.95 
Checking 0105PPUM1 .2 1.76 
Checking 0105PPUKEY .2 1.76 
Checking 0105UUTILPP .65 0 
Checking 08COMUTLPRNX .21 .05 
Changing 101 33 08COMUTLPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 33 08COMUTLPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 34 08COMUTLPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Checking 08COMUTLPRNXFP .22 .05 
Changing 101 33 08COMUTLPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 33 08COMUTLPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 34 08COMUTLPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Checking 08DAVPCOPRNX 0 0 
Checking 08DAVPCOPRNXFP 0 0 
Checking 08DAVPPRNX .21 .05 
Checking 08DAVPPRNXFP .22 .05 
Checking 08DEFCOPRNX 0 0 
Checking 08DEFCOPRNXFP 0 0 
Checking 08DEFPRNX 0 0 
Changing 101 33 08DEFPRNX 010003015101 010004020000 to 0 0  from .21 .05 
Changing 107 33 08DEFPRNX 010003015101 010004020000 to 0 0  from .21 .05 
Changing 107 34 08DEFPRNX 010003015101 010004020000 to 0 0  from .21 .05 
Checking 08DEFPRNXFP 0 0 
Changing 101 33 08DEFPRNXFP 010003015101 010004020000 to 0 0  from .22 .05 
Changing 107 33 08DEFPRNXFP 010003015101 010004020000 to 0 0  from .22 .05 
Changing 107 34 08DEFPRNXFP 010003015101 010004020000 to 0 0  from .22 .05 
Checking 08ECOMPRNX .21 .05 
Checking 08ECOMPRNXFP .22 .05 
Checking 08EMEPRNX .21 .05 
Checking 08EMEPRNXFP .22 .05 
Checking 08EXPPPRNX .21 .05 
Checking 08EXPPPRNXFP .22 .05 
Checking 08HOTPRNX .21 .05 
Checking 08HOTPRNXFP .22 .05 
Checking 08INSUPRNX .21 .05 
Checking 08INSUPRNXFP .22 .05 
Checking 08KEYPRNX .21 .05 
Checking 08KEYPRNXFP .22 .05 
Checking 08MIDPRNX .21 .05 
Checking 08MIDPRNXFP .22 .05 
Checking 08PASPRNX .21 .05 
Checking 08PASPRNXFP .22 .05 
Checking 08PETPRNX .21 .05 
Checking 08PETPRNXFP .22 .05 
Checking 08PUBPRNX .21 .05 
Checking 08PUBPRNXFP .22 .05 
Checking 08RECPRNX .21 .05 
Checking 08RECPRNXFP .22 .05 
Checking 08RESPRNX .21 .05 
Checking 08RESPRNXFP .22 .05 
Checking 08RETPR .16 1.1 
Changing 101 33 08RETPR 010003015101 010004020000 to .16 1.1  from .16 1.02 
Changing 107 33 08RETPR 010003015101 010004020000 to .16 1.1  from .16 1.02 
Changing 107 34 08RETPR 010003015101 010004020000 to .16 1.1  from .16 1.02 
Checking 08RETPRNX .21 .05 
Checking 08RETPRNXFP .22 .05 
Checking 08RSTPRNX .21 .05 
Checking 08RSTPRNXFP .22 .05 
Checking 08SUPPRNX .21 .05 
Checking 08SUPPRNXFP .22 .05 
Checking 08UTIPRNX .21 .05 
Checking 08UTIPRNXFP .22 .05 
Checking 0104CPSAFDCRCAP .25 1.15 
Checking 0104UCPSAFDPPCAP .15 1.15 
Checking 0104UEIRFCRCAP .1 2.3 
Checking 0104URTLDBTX1CAP .15 .65 
Checking 0104URTLDBTX2CAP .15 .65 
Checking 0104URTLDP .15 .65 2
Checking 0104USMKTPPCAP .15 1.15 
Checking 0104USVCSTNPPCAP .15 1.15 
Checking 0104URTLDPTCAP .15 .65 
Checking 0102INTLNKBUS .1 1.7 
Checking 0102INTLNKCOMMPP .1 2.15 
Checking 0102INTLNKFUEL .15 .8 
Checking 0102INTLNKFUELPP .15 1.15 
Checking 0102INTLNKIRREG .22 .05 
Checking 0102INTLNKMERRET 0 0 
Checking 0102INTLNKREG .22 .05 
Checking 0102INTLNKSPMKTPP .15 1.15 
Checking 0102INTLNKSTD .15 .8 
Checking 0102INTLNKSTDPP .15 1.15 
Checking 0102INTLNKSUP .3 0 
Checking 0102INTLNKTRVL .1 1.19 
Checking 0102INTLNKTRVLPP .15 1.15 
Checking 0102PACOMMPP .1 2.15 
Checking 0102PADBBUS .1 1.7 
Checking 0102PADBCV 0 0 
Checking 0102PADBREG .22 .05 
Checking 0102PAPPTRVL .15 1.15 
Checking 0102PPALOAD .05 0 
Checking 0102PPRLOAD .05 0 
Checking 0102VMTFF .1 0 
Checking 0104PULTPP 35 1.45 
Checking 0104USCOMCNPPP .1 2.65 
Checking 0104USCOMRTLPP .1 2.15 
Checking 0104USCOMSTDPP .1 2.95 
Checking 0104UUBD 1.5 0 
Checking 08AVP1COPR 0 2.25 
Checking 08AVP1PR 0 1.8 
Checking 08AVP2PR 0 1.69 
Checking 08AVP3PR 0 1.35 
Checking 08BASEPR .25 1.89 
Checking 08COMBASPR .1 2.95 
Checking 08COMELECPR .1 2.3 
Checking 08COMLRGTKTNX .21 .05 
Changing 101 33 08COMLRGTKTNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 33 08COMLRGTKTNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 34 08COMLRGTKTNX 010003015101 010004020000 to .21 .05  from 0 0 
Checking 08COMLRGTKTNXFP .22 .05 
Changing 101 33 08COMLRGTKTNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 33 08COMLRGTKTNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 34 08COMLRGTKTNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Checking 08COMLRGTKTPR 20 .9 
Checking 08COMUTLPR 1.5 0 
Checking 08DAVPCOPR .1 2.95 
Checking 08DAVPPR .25 1.89 
Checking 08DEFCOPR .1 2.95 
Checking 08DEFPR 0 1.8 
Changing 101 33 08DEFPR 010003015101 010004020000 to 0 1.8  from 0 1.35 
Changing 107 33 08DEFPR 010003015101 010004020000 to 0 1.8  from 0 1.35 
Changing 107 34 08DEFPR 010003015101 010004020000 to 0 1.8  from 0 1.35 
Checking 08ECOMPR .2 1.75 
Changing 101 33 08ECOMPR 010003015101 010004020000 to .2 1.75  from .16 1.62 
Changing 107 33 08ECOMPR 010003015101 010004020000 to .2 1.75  from .16 1.62 
Changing 107 34 08ECOMPR 010003015101 010004020000 to .2 1.75  from .16 1.62 
Checking 08EMEPR .2 .9 
Checking 08EXPPPR 0 1.8 
Checking 08HOTPR .16 1.35 
Checking 08INSUPR .25 .8 
Checking 08KEYPR .2 1.75 
Changing 101 33 08KEYPR 010003015101 010004020000 to .2 1.75  from .16 1.62 
Changing 107 33 08KEYPR 010003015101 010004020000 to .2 1.75  from .16 1.62 
Changing 107 34 08KEYPR 010003015101 010004020000 to .2 1.75  from .16 1.62 
Checking 08MIDPR .2 1.72 
Changing 105 33 08MIDPR 010003015101 010004020000 to .2 1.72  from .2 1.8 
Changing 105 34 08MIDPR 010003015101 010004020000 to .2 1.72  from .2 1.8 
Changing 121 34 08MIDPR 010003015101 010004020000 to .2 1.72  from .2 1.8 
Changing 121 33 08MIDPR 010003015101 010004020000 to .2 1.72  from .2 1.8 
Checking 08PASPR .16 1.59 
Checking 08PETPR .16 .76 
Checking 08PUBPR .2 .9 
Checking 08RECPR .05 1.2 
Checking 08RESPR .16 1.1 
Changing 101 33 08RESPR 010003015101 010004020000 to .16 1.1  from .1 1.19 
Changing 107 33 08RESPR 010003015101 010004020000 to .16 1.1  from .1 1.19 
Changing 107 34 08RESPR 010003015101 010004020000 to .16 1.1  from .1 1.19 
Checking 08RSTPR 0 1.1 
Checking 08SUPPR .16 1.1 
Changing 101 33 08SUPPR 010003015101 010004020000 to .16 1.1  from .16 1.02 
Changing 107 33 08SUPPR 010003015101 010004020000 to .16 1.1  from .16 1.02 
Changing 107 34 08SUPPR 010003015101 010004020000 to .16 1.1  from .16 1.02 
Checking 08UTIPR .75 0 
Checking 0104PULT 35 1.45 
Checking 08AVP1COPRNX 0 0 
Checking 08AVP1COPRNXFP 0 0 
Checking 08AVP1PRNX 0 0 
Checking 08AVP1PRNXFP 0 0 
Checking 08AVP2PRNX 0 0 
Checking 08AVP2PRNXFP 0 0 
Checking 08AVP3PRNX 0 0 
Checking 08AVP3PRNXFP 0 0 
Checking 08BASEPRNX .21 .05 
Checking 08BASEPRNXFP .22 .05 
Checking 08COMBASPRNX .21 .05 
Changing 101 33 08COMBASPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 33 08COMBASPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 34 08COMBASPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Checking 08COMBASPRNXFP .22 .05 
Changing 101 33 08COMBASPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 33 08COMBASPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 34 08COMBASPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Checking 08COMELECPRNX .21 .05 
Changing 101 33 08COMELECPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 33 08COMELECPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 34 08COMELECPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Checking 08COMELECPRNXFP .22 .05 
Changing 101 33 08COMELECPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 33 08COMELECPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 34 08COMELECPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Checking 08COMLRGTKTPRNX .21 .05 
Changing 101 33 08COMLRGTKTPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 33 08COMLRGTKTPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Changing 107 34 08COMLRGTKTPRNX 010003015101 010004020000 to .21 .05  from 0 0 
Checking 08COMLRGTKTPRNXFP .22 .05 
Changing 101 33 08COMLRGTKTPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 33 08COMLRGTKTPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Changing 107 34 08COMLRGTKTPRNXFP 010003015101 010004020000 to .22 .05  from 0 0 
Checking 0104UCVPTDB 0 2.07 
Checking 0104USVCSTNDBCAP .15 .8 
Checking 0105DUCWHCCT2 .15 1.05 
Checking 0105DUSUPCAP .15 1.05 
Checking 0105DUSUPCT3 .15 .95 
Checking 0105UWMCPETRC 0 2 
Checking 0105UENHPETRC 0 1.9 
Checking 08EXPCDNX .21 .05 
Checking 08EXPCDNXFP .22 .05 
Checking 0102PADBFUEL .15 .8 
Checking 0102PADBRTL .15 .8 
Checking 0102PADBSMKT .3 0 
Checking 0102PADBSTKT .04 1.55 
Checking 0102PADBTRVL .1 1.19 
Checking 0102PAPPFUEL .15 1.15 
Checking 0102PAPPRTL .15 1.15 
Checking 0102PAPPSMKT .15 1.15 
Checking 0102PAPPSTKT .05 1.6 
Checking 0104UCVPGSA1 0 2.35 
Checking 0104UCVPGSA2 0 2.15 
Checking 0104UCVPGSA3 0 2 
Checking 0104UCVPGSA4 0 1.8 
Checking 0104UCVPGSA5 0 1.8 
Checking 0104UCVPNGSA1 0 2.4 
Checking 0104UCVPNGSA2 0 2.3 
Checking 0104UCVPNGSA3 0 2.2 
Checking 0104UCVPNGSA4 0 2 
Checking 0104UCVPNGSA5 0 1.8 
Checking 0104USCOMLT 35 1.45 
Checking 0104USPURCHFLT .1 2.5 
Checking 0104USSTP2 35 1.3 
Checking 0104UCORPSTDWD .1 2.95 
Checking 0104USSTP4 35 .95 
Checking 0104USSTP5 35 .8 
Checking 0104USSTP1 .1 2 
Checking 0104USCORPCP .1 2.5 
Checking 0104USPURSTDWD .1 2.95 
Checking 0104USPURCHCP .1 2.5 
Checking 0104USSTP3 35 1.1 
Checking 0105UBDDR3 .1 1.8 
Checking 0105UFLSUPMKT .1 2.5 
Checking 0105UBWSUPMKT .1 2.16 
Checking 08COMBASDB .1 2.95 
Changing 101 33 08COMBASDB 010003015101 010004020000 to .1 2.95  from 0 2.25 
Changing 107 33 08COMBASDB 010003015101 010004020000 to .1 2.95  from 0 2.25 
Changing 107 34 08COMBASDB 010003015101 010004020000 to .1 2.95  from 0 2.25 
Checking 0105UCODR3 .1 1.8 
Changing 101 33 0105UCODR3 010003015101 010004020000 to .1 1.8  from .1 1.9 
Changing 107 33 0105UCODR3 010003015101 010004020000 to .1 1.8  from .1 1.9 
Changing 107 34 0105UCODR3 010003015101 010004020000 to .1 1.8  from .1 1.9 
Checking 0105USCH .1 2 
Checking 08COMLRGTKTDB 20 .9 
Checking 0105UPUSUPMKT .1 2.5 
Changing 101 33 0105UPUSUPMKT 010003015101 010004020000 to .1 2.5  from .1 2.1 
Changing 107 33 0105UPUSUPMKT 010003015101 010004020000 to .1 2.5  from .1 2.1 
Changing 107 34 0105UPUSUPMKT 010003015101 010004020000 to .1 2.5  from .1 2.1 
Checking 08COMELECDB .1 2.3 
Checking 08COMUTLDB 1.5 0 
Checking 0105UPUDR3 .1 1.8 
Changing 101 33 0105UPUDR3 010003015101 010004020000 to .1 1.8  from .1 1.9 
Changing 107 33 0105UPUDR3 010003015101 010004020000 to .1 1.8  from .1 1.9 
Changing 107 34 0105UPUDR3 010003015101 010004020000 to .1 1.8  from .1 1.9 
Checking 0105UBCSUPMKT .1 2 
Checking 0105BL2UTI 1.5 0 
Checking 0105USCHCONDBPP .15 1.45 
Checking 0104ASBUSSTD .2 2.95 
Checking 0104ASCHPIS 0 1.2 
Checking 0104ASCHPOFF 0 1.44 
Checking 0104ASCONSTD 0 1.6 
Checking 0104ASEIRF 0 1.1 
Checking 0104ASPUREIRF .1 2.75 
Changing 101 33 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 107 34 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 107 33 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 105 34 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 121 34 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 105 33 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 121 33 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 121 33 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 121 34 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 105 34 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Changing 105 33 0104ASPUREIRF 010003015101 010004020000 to .1 2.75  from .1 2.95 
Checking 0104ASSMALLTK .04 1.65 
Checking 0104TCAIRCHIPACQ 0 1 
Checking 0104TCAIRCHIPFULLPIN 0 1.1 
Checking 0104TCBUS 0 2 
Checking 0104TCCHIPFULL 0 1.1 
Checking 0104TCCHIPFULLPIN 0 1.1 
Checking 0104TCCORP 0 2 
Checking 0104TCECM 0 1.44 
